0,1,2,3,4,5,6,7,8
YES,Sun Oct 10,"Iowa Bucks
 (19-7-0)",-,"Hooligans
 (6-19-2)",-,"Buccaneer Arena, Hickman Road, Urbandale, IA, USA",9:30 AM CDT,https://www.dmyha.com/game/show/32804829?subseason=779454
YES,Sun Oct 10,"Devils
 (8-15-3)",-,"Pregamers
 (16-8-3)",-,"Buccaneer Arena, Hickman Road, Urbandale, IA, USA",10:45 AM CDT,https://www.dmyha.com/game/show/32804848?subseason=779454
YES,Sun Oct 10,"Grizzly Goons
 (14-9-3)",-,"Ice Dragons
 (10-11-5)",-,"Buccaneer Arena, Hickman Road, Urbandale, IA, USA",12:00 PM CDT,https://www.dmyha.com/game/show/32805622?subseason=779454
YES,Sun Oct 10,"Mallards
 (6-15-4)",-,"Wild Goose
 (12-7-6)",-,"Buccaneer Arena, Hickman Road, Urbandale, IA, USA",1:15 PM CDT,https://www.dmyha.com/game/show/32805744?subseason=779454
YES,Sun Oct 10,"Wiggums
 (8-15-2)",-,"Irish
 (9-10-6)",-,"Buccaneer Arena, Hickman Road, Urbandale, IA, USA",2:30 PM CDT,https://www.dmyha.com/game/show/32805780?subseason=779454
YES,Sun Oct 10,"Vicious Squirrels
 (19-1-4)",-,"Lucky Bulldogs
 (6-16-2)",-,,3:45 PM CDT,https://www.dmyha.com/game/show/32805788?subseason=779454
YES,Sun Oct 17,"Vicious Squirrels
 (19-1-4)",-,"Irish
 (9-10-6)",-,,9:30 AM CDT,https://www.dmyha.com/game/show/32805803?subseason=779454
YES,Sun Oct 17,"Wiggums
 (8-15-2)",-,"Lucky Bulldogs
 (6-16-2)",-,"Buccaneer Arena, Hickman Road, Urbandale, IA, USA",10:45 AM CDT,https://www.dmyha.com/game/show/32805814?subseason=779454
,Sun Oct 17,Iowa Bucks,7,Hooligans,2,"Buccaneer Arena, Hickman Road, Urbandale, IA, USA",,https://www.dmyha.com/game/show/32805816?subseason=779454
,Sun Oct 17,Devils,4,Pregamers,4,"Buccaneer Arena, Hickman Road, Urbandale, IA, USA",,https://www.dmyha.com/game/show/32805819?subseason=779454
,Sun Oct 17,Grizzly Goons,1,Ice Dragons,7,"Buccaneer Arena, Hickman Road, Urbandale, IA, USA",,https://www.dmyha.com/game/show/32805822?subseason=779454
,Sun Oct 17,Mallards,3,Wild Goose,0,"Buccaneer Arena, Hickman Road, Urbandale, IA, USA",,https://www.dmyha.com/game/show/32805826?subseason=779454
,Sun Oct 24,Wild Goose,8,Ice Dragons,8,"Buccaneer Arena, Hickman Road, Urbandale, IA, USA",,https://www.dmyha.com/game/show/32805830?subseason=779454
,Sun Oct 24,Mallards,1,Grizzly Goons,2,"Buccaneer Arena, Hickman Road, Urbandale, IA, USA",,https://www.dmyha.com/game/show/32805835?subseason=779454
,Sun Oct 24,Lucky Bulldogs,3,Irish,3,"Buccaneer Arena, Hickman Road, Urbandale, IA, USA",,https://www.dmyha.com/game/show/32805844?subseason=779454
,Sun Oct 24,Vicious Squirrels,2,Wiggums,2,,,https://www.dmyha.com/game/show/32805846?subseason=779454
,Sun Oct 24,Pregamers,6,Hooligans,3,"Buccaneer Arena, Hickman Road, Urbandale, IA, USA",,https://www.dmyha.com/game/show/32805862?subseason=779454
,Sun Oct 24,Devils,3,Iowa Bucks,2,"Buccaneer Arena, Hickman Road, Urbandale, IA, USA",,https://www.dmyha.com/game/show/32805867?subseason=779454
,Sun Oct 31,Devils,0,Hooligans,6,,,https://www.dmyha.com/game/show/32805883?subseason=779454
,Sun Oct 31,Iowa Bucks,6,Pregamers,3,,,https://www.dmyha.com/game/show/32806184?subseason=779454
,Sun Oct 31,Ice Dragons,5,Mallards,3,,,https://www.dmyha.com/game/show/32806857?subseason=779454
,Sun Oct 31,Wild Goose,3,Grizzly Goons,3,,,https://www.dmyha.com/game/show/32806870?subseason=779454
,Sun Oct 31,Wiggums,1,Irish,2,,,https://www.dmyha.com/game/show/32806878?subseason=779454
,Sun Oct 31,Vicious Squirrels,8,Lucky Bulldogs,0,,,https://www.dmyha.com/game/show/32806882?subseason=779454
,Sun Nov  7,Vicious Squirrels,1,Irish,1,,,https://www.dmyha.com/game/show/32807312?subseason=779454
,Sun Nov  7,Wiggums,0,Lucky Bulldogs,5,,,https://www.dmyha.com/game/show/32807373?subseason=779454
,Sun Nov  7,Pregamers,7,Devils,2,,,https://www.dmyha.com/game/show/32807379?subseason=779454
,Sun Nov  7,Hooligans,0,Iowa Bucks,8,,,https://www.dmyha.com/game/show/32807383?subseason=779454
,Sun Nov  7,Wild Goose,5,Mallards,2,,,https://www.dmyha.com/game/show/32807387?subseason=779454
,Sun Nov  7,Ice Dragons,5,Grizzly Goons,5,,,https://www.dmyha.com/game/show/32807390?subseason=779454
,Sun Nov 14,Grizzly Goons,2,Mallards,1,,,https://www.dmyha.com/game/show/32807427?subseason=779454
,Sun Nov 14,Wild Goose,3,Ice Dragons,3,,,https://www.dmyha.com/game/show/32807432?subseason=779454
,Sun Nov 14,Wiggums,0,Vicious Squirrels,5,,,https://www.dmyha.com/game/show/32807438?subseason=779454
,Sun Nov 14,Irish,4,Lucky Bulldogs,6,,,https://www.dmyha.com/game/show/32807719?subseason=779454
,Sun Nov 14,Iowa Bucks,1,Devils,2,,,https://www.dmyha.com/game/show/32807724?subseason=779454
,Sun Nov 14,Hooligans,4,Pregamers,2,,,https://www.dmyha.com/game/show/32807726?subseason=779454
,Sun Nov 21,Hooligans,3,Devils,6,,,https://www.dmyha.com/game/show/32807727?subseason=779454
,Sun Nov 21,Iowa Bucks,5,Pregamers,4,,,https://www.dmyha.com/game/show/32808044?subseason=779454
,Sun Nov 21,Ice Dragons,5,Mallards,2,,,https://www.dmyha.com/game/show/32808050?subseason=779454
,Sun Nov 21,Grizzly Goons,5,Wild Goose,3,,,https://www.dmyha.com/game/show/32808066?subseason=779454
,Sun Nov 21,Vicious Squirrels,3,Lucky Bulldogs,0,,,https://www.dmyha.com/game/show/32808130?subseason=779454
,Sun Nov 21,Wiggums,3,Irish,1,,,https://www.dmyha.com/game/show/32808296?subseason=779454
,Sun Nov 28,Irish,1,Vicious Squirrels,1,,,https://www.dmyha.com/game/show/32823228?subseason=779454
,Sun Nov 28,Lucky Bulldogs,4,Wiggums,1,,,https://www.dmyha.com/game/show/32823259?subseason=779454
,Sun Nov 28,Hooligans,5,Iowa Bucks,3,,,https://www.dmyha.com/game/show/32823505?subseason=779454
,Sun Nov 28,Pregamers,3,Devils,2,,,https://www.dmyha.com/game/show/32823508?subseason=779454
,Sun Nov 28,Grizzly Goons,3,Ice Dragons,5,,,https://www.dmyha.com/game/show/32823515?subseason=779454
,Sun Nov 28,Mallards,4,Wild Goose,3,,,https://www.dmyha.com/game/show/32823521?subseason=779454
,Sun Dec  5,Ice Dragons,5,Wild Goose,1,,,https://www.dmyha.com/game/show/32823573?subseason=779454
,Sun Dec  5,Mallards,3,Grizzly Goons,1,,,https://www.dmyha.com/game/show/32823578?subseason=779454
,Sun Dec  5,Lucky Bulldogs,0,Irish,2,,,https://www.dmyha.com/game/show/32823581?subseason=779454
,Sun Dec  5,Vicious Squirrels,4,Wiggums,0,,,https://www.dmyha.com/game/show/32823586?subseason=779454
,Sun Dec  5,Pregamers,7,Hooligans,3,,,https://www.dmyha.com/game/show/32823592?subseason=779454
,Sun Dec  5,Devils,1,Iowa Bucks,8,,,https://www.dmyha.com/game/show/32823595?subseason=779454
,Sun Dec 12,Pregamers,10,Iowa Bucks,7,,,https://www.dmyha.com/game/show/32834250?subseason=779454
,Sun Dec 12,Devils,4,Hooligans,1,,,https://www.dmyha.com/game/show/32834394?subseason=779454
,Sun Dec 12,Wild Goose,-,Grizzly Goons,-,,Postponed,https://www.dmyha.com/game/show/32834395?subseason=779454
,Sun Dec 12,Mallards,-,Ice Dragons,-,,Postponed,https://www.dmyha.com/game/show/32834430?subseason=779454
,Sun Dec 12,Wiggums,-,Irish,-,,Postponed,https://www.dmyha.com/game/show/32834432?subseason=779454
,Sun Dec 12,Vicious Squirrels,-,Lucky Bulldogs,-,,Postponed,https://www.dmyha.com/game/show/32834717?subseason=779454
,Sun Dec 19,Vicious Squirrels,6,Irish,0,,,https://www.dmyha.com/game/show/32834904?subseason=779454
,Sun Dec 19,Wiggums,5,Lucky Bulldogs,2,,,https://www.dmyha.com/game/show/32834958?subseason=779454
,Sun Dec 19,Pregamers,3,Devils,3,,,https://www.dmyha.com/game/show/32834990?subseason=779454
,Sun Dec 19,Hooligans,3,Iowa Bucks,9,,,https://www.dmyha.com/game/show/32835073?subseason=779454
,Sun Dec 19,Wild Goose,3,Mallards,3,,,https://www.dmyha.com/game/show/32835083?subseason=779454
,Sun Dec 19,Ice Dragons,0,Grizzly Goons,6,,,https://www.dmyha.com/game/show/32835085?subseason=779454
Yes,Sun Jan  2,"Ice Dragons
 (10-11-5)",-,"Grizzly Goons
 (14-9-3)",-,,12:00 PM CST,https://www.dmyha.com/game/show/33828088?subseason=779454
Yes,Sun Jan  2,"Mallards
 (6-15-4)",-,"Wild Goose
 (12-7-6)",-,,1:15 PM CST,https://www.dmyha.com/game/show/33828097?subseason=779454
,Sun Jan  9,Grizzly Goons,5,Mallards,3,,,https://www.dmyha.com/game/show/32835093?subseason=779454
,Sun Jan  9,Ice Dragons,0,Wild Goose,4,,,https://www.dmyha.com/game/show/32835099?subseason=779454
,Sun Jan  9,Wiggums,1,Vicious Squirrels,3,,,https://www.dmyha.com/game/show/32835103?subseason=779454
,Sun Jan  9,Irish,1,Lucky Bulldogs,1,,,https://www.dmyha.com/game/show/32835211?subseason=779454
,Sun Jan  9,Iowa Bucks,7,Devils,5,,,https://www.dmyha.com/game/show/32835271?subseason=779454
,Sun Jan  9,Hooligans,4,Pregamers,4,,,https://www.dmyha.com/game/show/32835358?subseason=779454
,Sun Jan 16,Iowa Bucks,3,Pregamers,7,,,https://www.dmyha.com/game/show/32835393?subseason=779454
,Sun Jan 16,Hooligans,5,Devils,7,,,https://www.dmyha.com/game/show/32835406?subseason=779454
,Sun Jan 16,Grizzly Goons,3,Wild Goose,2,,,https://www.dmyha.com/game/show/32835539?subseason=779454
,Sun Jan 16,Ice Dragons,3,Mallards,2,,,https://www.dmyha.com/game/show/32835543?subseason=779454
,Sun Jan 16,Lucky Bulldogs,2,Vicious Squirrels,4,,,https://www.dmyha.com/game/show/32835548?subseason=779454
,Sun Jan 16,Wiggums,4,Irish,0,,,https://www.dmyha.com/game/show/32835753?subseason=779454
,Sun Jan 23,Irish,2,Vicious Squirrels,9,,,https://www.dmyha.com/game/show/32835786?subseason=779454
,Sun Jan 23,Lucky Bulldogs,2,Wiggums,10,,,https://www.dmyha.com/game/show/32835790?subseason=779454
,Sun Jan 23,Iowa Bucks,6,Hooligans,2,,,https://www.dmyha.com/game/show/32835810?subseason=779454
,Sun Jan 23,Devils,1,Pregamers,6,,,https://www.dmyha.com/game/show/32835814?subseason=779454
,Sun Jan 23,Ice Dragons,3,Grizzly Goons,7,,,https://www.dmyha.com/game/show/32835817?subseason=779454
,Sun Jan 23,Mallards,6,Wild Goose,10,,,https://www.dmyha.com/game/show/32835821?subseason=779454
,Sun Jan 30,Ice Dragons,3,Wild Goose,6,,,https://www.dmyha.com/game/show/32835823?subseason=779454
,Sun Jan 30,Mallards,1,Grizzly Goons,4,,,https://www.dmyha.com/game/show/32835863?subseason=779454
,Sun Jan 30,Lucky Bulldogs,1,Irish,3,,,https://www.dmyha.com/game/show/32835865?subseason=779454
,Sun Jan 30,Vicious Squirrels,5,Wiggums,1,,,https://www.dmyha.com/game/show/32835866?subseason=779454
,Sun Jan 30,Pregamers,7,Hooligans,1,,,https://www.dmyha.com/game/show/32835869?subseason=779454
,Sun Jan 30,Devils,3,Iowa Bucks,6,,,https://www.dmyha.com/game/show/32835870?subseason=779454
,Sun Feb  6,Devils,4,Hooligans,7,,,https://www.dmyha.com/game/show/32836191?subseason=779454
,Sun Feb  6,Pregamers,4,Iowa Bucks,5,,,https://www.dmyha.com/game/show/32836193?subseason=779454
,Sun Feb  6,Mallards,3,Ice Dragons,2,,,https://www.dmyha.com/game/show/32836196?subseason=779454
,Sun Feb  6,Wild Goose,1,Grizzly Goons,3,,,https://www.dmyha.com/game/show/32836200?subseason=779454
,Sun Feb  6,Wiggums,2,Irish,4,,,https://www.dmyha.com/game/show/32836229?subseason=779454
,Sun Feb  6,Vicious Squirrels,8,Lucky Bulldogs,0,,,https://www.dmyha.com/game/show/32836369?subseason=779454
Yes,Sun Feb 13,"Pregamers
 (16-8-3)",-,"Devils
 (8-15-3)",-,,9:30 AM CST,https://www.dmyha.com/game/show/32836442?subseason=779454
Yes,Sun Feb 13,"Hooligans
 (6-19-2)",-,"Iowa Bucks
 (19-7-0)",-,,10:45 AM CST,https://www.dmyha.com/game/show/32836460?subseason=779454
Yes,Sun Feb 13,"Wild Goose
 (12-7-6)",-,"Mallards
 (6-15-4)",-,,12:00 PM CST,https://www.dmyha.com/game/show/32836469?subseason=779454
Yes,Sun Feb 13,"Ice Dragons
 (10-11-5)",-,"Grizzly Goons
 (14-9-3)",-,,1:15 PM CST,https://www.dmyha.com/game/show/32836483?subseason=779454
YES,Sun Feb 13,"Lucky Bulldogs
 (6-16-2)",-,"Irish
 (9-10-6)",-,,2:30 PM CST,https://www.dmyha.com/game/show/32836486?subseason=779454
YES,Sun Feb 13,"Vicious Squirrels
 (19-1-4)",-,"Wiggums
 (8-15-2)",-,,3:45 PM CST,https://www.dmyha.com/game/show/32836489?subseason=779454
,Sun Feb 20,Grizzly Goons,2,Mallards,2,,,https://www.dmyha.com/game/show/32836498?subseason=779454
,Sun Feb 20,Ice Dragons,2,Wild Goose,9,,,https://www.dmyha.com/game/show/32836502?subseason=779454
,Sun Feb 20,Vicious Squirrels,2,Irish,0,,,https://www.dmyha.com/game/show/32836519?subseason=779454
,Sun Feb 20,Wiggums,1,Lucky Bulldogs,3,,,https://www.dmyha.com/game/show/32836537?subseason=779454
,Sun Feb 20,Iowa Bucks,12,Devils,2,,,https://www.dmyha.com/game/show/32836625?subseason=779454
,Sun Feb 20,Pregamers,6,Hooligans,2,,,https://www.dmyha.com/game/show/32836629?subseason=779454
,Sun Feb 27,Hooligans,2,Devils,3,,,https://www.dmyha.com/game/show/32836640?subseason=779454
,Sun Feb 27,Iowa Bucks,4,Pregamers,3,,,https://www.dmyha.com/game/show/32836655?subseason=779454
,Sun Feb 27,Ice Dragons,4,Mallards,4,,,https://www.dmyha.com/game/show/32836658?subseason=779454
,Sun Feb 27,Grizzly Goons,2,Wild Goose,4,,,https://www.dmyha.com/game/show/32836662?subseason=779454
,Sun Feb 27,Wiggums,3,Vicious Squirrels,2,,,https://www.dmyha.com/game/show/32836664?subseason=779454
,Sun Feb 27,Irish,3,Lucky Bulldogs,1,,,https://www.dmyha.com/game/show/32836722?subseason=779454
,Sun Mar  6,Lucky Bulldogs,1,Vicious Squirrels,4,,,https://www.dmyha.com/game/show/32837267?subseason=779454
,Sun Mar  6,Irish,1,Wiggums,0,,,https://www.dmyha.com/game/show/32837269?subseason=779454
,Sun Mar  6,Iowa Bucks,8,Hooligans,6,,,https://www.dmyha.com/game/show/32837275?subseason=779454
,Sun Mar  6,Pregamers,6,Devils,2,,,https://www.dmyha.com/game/show/32842486?subseason=779454
,Sun Mar  6,Grizzly Goons,3,Ice Dragons,4,,,https://www.dmyha.com/game/show/32842565?subseason=779454
