0,1,2,3,4,5,6,7,8
Yes,Sun Nov 12,"Iowa Train
 (9-7-2)",-,"Iowa Bucks
 (5-11-2)",-,,9:30 AM CST,https://www.dmyha.com/game/show/40946074?subseason=913844
Yes,Sun Nov 12,"No Regretzkys
 (6-10-2)",-,"Bat Hogs
 (12-4-2)",-,,10:45 AM CST,https://www.dmyha.com/game/show/40946086?subseason=913844
Yes,Sun Nov 12,"Crows
 (12-2-4)",-,"Snapper Tappers
 (7-6-5)",-,,12:00 PM CST,https://www.dmyha.com/game/show/40946110?subseason=913844
Yes,Sun Nov 12,"Wild Goose
 (3-11-4)",-,"Rented Mules
 (5-8-5)",-,,1:15 PM CST,https://www.dmyha.com/game/show/40946155?subseason=913844
Yes,Sun Nov 12,"Ice Warriors
 (9-5-4)",-,"Lucky Bulldogs
 (5-8-5)",-,,2:30 PM CST,https://www.dmyha.com/game/show/40946196?subseason=913844
Yes,Sun Nov 12,"Reapers
 (5-8-5)",-,"Vicious Squirrels
 (8-6-4)",-,,3:45 PM CST,https://www.dmyha.com/game/show/40946270?subseason=913844
,Sun Nov 19,Rented Mules,1,Snapper Tappers,5,,,https://www.dmyha.com/game/show/40946274?subseason=913844
,Sun Nov 19,Wild Goose,1,Crows,3,,,https://www.dmyha.com/game/show/40946278?subseason=913844
,Sun Nov 19,Vicious Squirrels,0,Lucky Bulldogs,1,,,https://www.dmyha.com/game/show/40946281?subseason=913844
,Sun Nov 19,Reapers,0,Ice Warriors,0,,,https://www.dmyha.com/game/show/40946283?subseason=913844
,Sun Nov 19,Bat Hogs,6,Iowa Bucks,2,,,https://www.dmyha.com/game/show/40946285?subseason=913844
,Sun Nov 19,No Regretzkys,2,Iowa Train,4,,,https://www.dmyha.com/game/show/40946289?subseason=913844
,Sun Nov 26,No Regretzkys,5,Iowa Bucks,5,,,https://www.dmyha.com/game/show/40946336?subseason=913844
,Sun Nov 26,Bat Hogs,5,Iowa Train,5,,,https://www.dmyha.com/game/show/40946344?subseason=913844
,Sun Nov 26,Wild Goose,2,Snapper Tappers,2,,,https://www.dmyha.com/game/show/40946371?subseason=913844
,Sun Nov 26,Rented Mules,3,Crows,4,,,https://www.dmyha.com/game/show/40946373?subseason=913844
,Sun Nov 26,Ice Warriors,3,Lucky Bulldogs,2,,,https://www.dmyha.com/game/show/40946376?subseason=913844
,Sun Nov 26,Reapers,4,Vicious Squirrels,5,,,https://www.dmyha.com/game/show/40946377?subseason=913844
,Sun Dec  3,Reapers,2,Lucky Bulldogs,1,,,https://www.dmyha.com/game/show/40946515?subseason=913844
,Sun Dec  3,Ice Warriors,2,Vicious Squirrels,5,,,https://www.dmyha.com/game/show/40946518?subseason=913844
,Sun Dec  3,Bat Hogs,8,No Regretzkys,3,,,https://www.dmyha.com/game/show/40946520?subseason=913844
,Sun Dec  3,Iowa Bucks,6,Iowa Train,10,,,https://www.dmyha.com/game/show/40946522?subseason=913844
,Sun Dec  3,Rented Mules,1,Wild Goose,2,,,https://www.dmyha.com/game/show/40946531?subseason=913844
,Sun Dec  3,Snapper Tappers,4,Crows,4,,,https://www.dmyha.com/game/show/40946533?subseason=913844
,Sun Dec 10,Crows,8,Wild Goose,1,,,https://www.dmyha.com/game/show/40946550?subseason=913844
,Sun Dec 10,Snapper Tappers,4,Rented Mules,4,,,https://www.dmyha.com/game/show/40946552?subseason=913844
,Sun Dec 10,Ice Warriors,4,Reapers,1,,,https://www.dmyha.com/game/show/40946555?subseason=913844
,Sun Dec 10,Lucky Bulldogs,3,Vicious Squirrels,5,,,https://www.dmyha.com/game/show/40946557?subseason=913844
,Sun Dec 10,Iowa Train,6,No Regretzkys,3,,,https://www.dmyha.com/game/show/40946560?subseason=913844
,Sun Dec 10,Iowa Bucks,2,Bat Hogs,4,,,https://www.dmyha.com/game/show/40946561?subseason=913844
,Sun Dec 17,Iowa Bucks,5,No Regretzkys,8,,,https://www.dmyha.com/game/show/40946568?subseason=913844
,Sun Dec 17,Iowa Train,4,Bat Hogs,3,,,https://www.dmyha.com/game/show/40946571?subseason=913844
,Sun Dec 17,Snapper Tappers,5,Wild Goose,2,,,https://www.dmyha.com/game/show/40946572?subseason=913844
,Sun Dec 17,Crows,4,Rented Mules,3,,,https://www.dmyha.com/game/show/40946575?subseason=913844
,Sun Dec 17,Vicious Squirrels,3,Reapers,4,,,https://www.dmyha.com/game/show/40946576?subseason=913844
,Sun Dec 17,Lucky Bulldogs,3,Ice Warriors,3,,,https://www.dmyha.com/game/show/40946580?subseason=913844
,Sun Jan  7,Lucky Bulldogs,3,Reapers,3,,,https://www.dmyha.com/game/show/40946679?subseason=913844
,Sun Jan  7,Vicious Squirrels,1,Ice Warriors,5,,,https://www.dmyha.com/game/show/40946704?subseason=913844
,Sun Jan  7,Iowa Train,7,Iowa Bucks,2,,,https://www.dmyha.com/game/show/40946746?subseason=913844
,Sun Jan  7,No Regretzkys,1,Bat Hogs,3,,,https://www.dmyha.com/game/show/40946749?subseason=913844
,Sun Jan  7,Crows,3,Snapper Tappers,1,,,https://www.dmyha.com/game/show/40946752?subseason=913844
,Sun Jan  7,Wild Goose,5,Rented Mules,6,,,https://www.dmyha.com/game/show/40946753?subseason=913844
,Sun Jan 14,Bat Hogs,10,Iowa Bucks,5,,,https://www.dmyha.com/game/show/40946781?subseason=913844
,Sun Jan 14,No Regretzkys,8,Iowa Train,3,,,https://www.dmyha.com/game/show/40946783?subseason=913844
,Sun Jan 14,Rented Mules,6,Snapper Tappers,4,,,https://www.dmyha.com/game/show/40946774?subseason=913844
,Sun Jan 14,Wild Goose,3,Crows,4,,,https://www.dmyha.com/game/show/40946777?subseason=913844
,Sun Jan 14,Vicious Squirrels,2,Lucky Bulldogs,1,,,https://www.dmyha.com/game/show/40946779?subseason=913844
,Sun Jan 14,Reapers,4,Ice Warriors,4,,,https://www.dmyha.com/game/show/40946780?subseason=913844
,Sun Jan 21,Bat Hogs,7,Iowa Train,4,,,https://www.dmyha.com/game/show/40946982?subseason=913844
,Sun Jan 21,No Regretzkys,4,Iowa Bucks,2,,,https://www.dmyha.com/game/show/40946984?subseason=913844
