0,1,2,3,4,5,6,7,8
,Sun Dec  1,Wolverines,1,Hooligans,3,,,https://www.dmyha.com/game/show/26567906?subseason=623115
,Sun Dec  1,Benders,8,DSM Whalers,0,,,https://www.dmyha.com/game/show/26567908?subseason=623115
,Sun Dec  1,Voodoo,2,Ice Dragons,4,,,https://www.dmyha.com/game/show/26567909?subseason=623115
,Sun Dec  8,Knights,3,Bandits,2,,,https://www.dmyha.com/game/show/26567910?subseason=623115
,Sun Dec  8,The Greys,2,Wolverines,2,,,https://www.dmyha.com/game/show/26567911?subseason=623115
,Sun Dec  8,DSM Whalers,2,Scorpions,3,,,https://www.dmyha.com/game/show/26567913?subseason=623115
,Sun Dec  8,Wild Goose,2,Voodoo,2,,,https://www.dmyha.com/game/show/26567915?subseason=623115
,Sun Dec  8,Ice Dragons,1,Vicious Squirrels,6,,,https://www.dmyha.com/game/show/26567916?subseason=623115
,Sun Dec  8,Hooligans,4,Benders,3,,,https://www.dmyha.com/game/show/26567919?subseason=623115
,Sun Dec 15,The Greys,5,Benders,2,,,https://www.dmyha.com/game/show/26567921?subseason=623115
,Sun Dec 15,Bandits,1,Ice Dragons,0,,,https://www.dmyha.com/game/show/26567923?subseason=623115
,Sun Dec 15,Scorpions,6,Wolverines,1,,,https://www.dmyha.com/game/show/26567924?subseason=623115
,Sun Dec 15,Knights,0,Wild Goose,0,,,https://www.dmyha.com/game/show/26567926?subseason=623115
,Sun Dec 15,Hooligans,0,DSM Whalers,4,,,https://www.dmyha.com/game/show/26567927?subseason=623115
,Sun Dec 15,Vicious Squirrels,10,Voodoo,0,,,https://www.dmyha.com/game/show/26567928?subseason=623115
,Sun Jan  5,Wild Goose,5,Vicious Squirrels,3,,,https://www.dmyha.com/game/show/26567930?subseason=623115
,Sun Jan  5,Hooligans,1,The Greys,2,,,https://www.dmyha.com/game/show/26567931?subseason=623115
,Sun Jan  5,Ice Dragons,1,Knights,5,,,https://www.dmyha.com/game/show/26567933?subseason=623115
,Sun Jan  5,DSM Whalers,6,Wolverines,1,,,https://www.dmyha.com/game/show/26567934?subseason=623115
,Sun Jan  5,Voodoo,4,Bandits,5,,,https://www.dmyha.com/game/show/26567935?subseason=623115
,Sun Jan  5,Benders,7,Scorpions,4,,,https://www.dmyha.com/game/show/26567937?subseason=623115
,Sun Jan 12,Vicious Squirrels,0,Bandits,10,,,https://www.dmyha.com/game/show/26567941?subseason=623115
,Sun Jan 12,Voodoo,2,Knights,3,,,https://www.dmyha.com/game/show/26567943?subseason=623115
,Sun Jan 12,Wolverines,3,Benders,2,,,https://www.dmyha.com/game/show/26567947?subseason=623115
,Sun Jan 12,Ice Dragons,2,Wild Goose,5,,,https://www.dmyha.com/game/show/26567950?subseason=623115
,Sun Jan 12,The Greys,2,DSM Whalers,2,,,https://www.dmyha.com/game/show/26567951?subseason=623115
,Sun Jan 12,Scorpions,5,Hooligans,5,,,https://www.dmyha.com/game/show/26567953?subseason=623115
,Sun Jan 19,Hooligans,6,Wolverines,3,,,https://www.dmyha.com/game/show/26567957?subseason=623115
,Sun Jan 19,DSM Whalers,0,Benders,4,,,https://www.dmyha.com/game/show/26567959?subseason=623115
,Sun Jan 19,Wild Goose,3,Bandits,5,,,https://www.dmyha.com/game/show/26567960?subseason=623115
,Sun Jan 19,The Greys,5,Scorpions,10,,,https://www.dmyha.com/game/show/26567961?subseason=623115
,Sun Jan 19,Ice Dragons,4,Voodoo,1,,,https://www.dmyha.com/game/show/26567962?subseason=623115
,Sun Jan 19,Knights,4,Vicious Squirrels,0,,,https://www.dmyha.com/game/show/26567963?subseason=623115
,Sun Jan 26,Scorpions,4,DSM Whalers,5,,,https://www.dmyha.com/game/show/26567965?subseason=623115
,Sun Jan 26,Vicious Squirrels,2,Ice Dragons,3,,,https://www.dmyha.com/game/show/26567966?subseason=623115
,Sun Jan 26,Bandits,6,Knights,2,,,https://www.dmyha.com/game/show/26567967?subseason=623115
