0,1,2,3,4,5,6,7,8
Yes,Sun Dec 13,"DSM Whalers
 (14-10-3)",-,"Hooligans
 (9-14-4)",-,,12:00 PM CST,https://www.dmyha.com/game/show/29932485?subseason=697991
Yes,Sun Dec 13,"Melons
 (18-7-1)",-,"Wolverines
 (7-18-2)",-,,1:15 PM CST,https://www.dmyha.com/game/show/29932491?subseason=697991
Yes,Sun Dec 13,"Wild Goose
 (16-9-1)",-,"Benders
 (9-15-3)",-,,2:30 PM CST,https://www.dmyha.com/game/show/29932496?subseason=697991
Yes,Sun Dec 13,"Knights
 (9-11-6)",-,"Crocodiles
 (7-15-4)",-,,3:45 PM CST,https://www.dmyha.com/game/show/29932498?subseason=697991
Yes,Sun Dec 13,"Vicious Squirrels
 (11-12-3)",-,"Grizzly Goons
 (17-6-3)",-,,5:00 PM CST,https://www.dmyha.com/game/show/29932502?subseason=697991
Yes,Sun Dec 20,"Vicious Squirrels
 (11-12-3)",-,"Crocodiles
 (7-15-4)",-,,12:00 PM CST,https://www.dmyha.com/game/show/29938392?subseason=697991
Yes,Sun Dec 20,"Grizzly Goons
 (17-6-3)",-,"Knights
 (9-11-6)",-,,1:15 PM CST,https://www.dmyha.com/game/show/29938398?subseason=697991
,Sun Dec 20,Wolverines,2,Melons,7,,,https://www.dmyha.com/game/show/30106243?subseason=697991
,Sun Dec 20,Benders,0,Wild Goose,2,,,https://www.dmyha.com/game/show/29938406?subseason=697991
,Sun Dec 20,Hooligans,1,DSM Whalers,11,,,https://www.dmyha.com/game/show/29938416?subseason=697991
,Sun Jan  3,Knights,4,Crocodiles,2,,,https://www.dmyha.com/game/show/29939075?subseason=697991
,Sun Jan  3,Vicious Squirrels,5,Grizzly Goons,1,,,https://www.dmyha.com/game/show/29939110?subseason=697991
,Sun Jan  3,Wolverines,5,Benders,3,,,https://www.dmyha.com/game/show/29939162?subseason=697991
,Sun Jan  3,Hooligans,2,Melons,7,,,https://www.dmyha.com/game/show/29939193?subseason=697991
,Sun Jan  3,DSM Whalers,4,Wild Goose,6,bucs arena,,https://www.dmyha.com/game/show/29939208?subseason=697991
,Sun Jan 10,DSM Whalers,7,Hooligans,4,,,https://www.dmyha.com/game/show/29939286?subseason=697991
,Sun Jan 10,Melons,3,Wolverines,5,,,https://www.dmyha.com/game/show/29939404?subseason=697991
,Sun Jan 10,Wild Goose,0,Benders,3,,,https://www.dmyha.com/game/show/29939416?subseason=697991
,Sun Jan 10,Vicious Squirrels,3,Crocodiles,6,,,https://www.dmyha.com/game/show/29939417?subseason=697991
,Sun Jan 10,Grizzly Goons,3,Knights,3,,,https://www.dmyha.com/game/show/29939419?subseason=697991
,Sun Jan 17,Vicious Squirrels,1,Knights,5,,,https://www.dmyha.com/game/show/29939422?subseason=697991
,Sun Jan 17,Crocodiles,1,Grizzly Goons,3,,,https://www.dmyha.com/game/show/29939425?subseason=697991
,Sun Jan 17,Benders,6,Hooligans,2,,,https://www.dmyha.com/game/show/29939427?subseason=697991
,Sun Jan 17,Wolverines,2,Wild Goose,4,,,https://www.dmyha.com/game/show/29939430?subseason=697991
,Sun Jan 17,Melons,4,DSM Whalers,3,,,https://www.dmyha.com/game/show/29939432?subseason=697991
,Sun Jan 24,Benders,3,Melons,2,,,https://www.dmyha.com/game/show/29939435?subseason=697991
,Sun Jan 24,DSM Whalers,7,Wolverines,1,,,https://www.dmyha.com/game/show/29939437?subseason=697991
,Sun Jan 24,Hooligans,2,Wild Goose,6,,,https://www.dmyha.com/game/show/29939439?subseason=697991
,Sun Jan 24,Vicious Squirrels,6,Grizzly Goons,2,,,https://www.dmyha.com/game/show/29939442?subseason=697991
,Sun Jan 24,Knights,1,Crocodiles,2,,,https://www.dmyha.com/game/show/29939444?subseason=697991
Yes,Sun Feb  7,"Vicious Squirrels
 (11-12-3)",-,"Knights
 (9-11-6)",-,,12:00 PM CST,https://www.dmyha.com/game/show/30148162?subseason=697991
Yes,Sun Feb  7,"Crocodiles
 (7-15-4)",-,"Grizzly Goons
 (17-6-3)",-,,1:15 PM CST,https://www.dmyha.com/game/show/30148164?subseason=697991
Yes,Sun Feb  7,"Benders
 (9-15-3)",-,"Hooligans
 (9-14-4)",-,,2:30 PM CST,https://www.dmyha.com/game/show/30148165?subseason=697991
Yes,Sun Feb  7,"Wolverines
 (7-18-2)",-,"Wild Goose
 (16-9-1)",-,,3:45 PM CST,https://www.dmyha.com/game/show/30148168?subseason=697991
Yes,Sun Feb  7,"Melons
 (18-7-1)",-,"DSM Whalers
 (14-10-3)",-,,5:00 PM CST,https://www.dmyha.com/game/show/30148170?subseason=697991
,Sun Feb 14,Wild Goose,7,Melons,3,,,https://www.dmyha.com/game/show/30148173?subseason=697991
,Sun Feb 14,Wolverines,5,Hooligans,2,,,https://www.dmyha.com/game/show/30148175?subseason=697991
,Sun Feb 14,DSM Whalers,1,Benders,5,,,https://www.dmyha.com/game/show/30148177?subseason=697991
,Sun Feb 14,Grizzly Goons,1,Knights,1,,,https://www.dmyha.com/game/show/30148178?subseason=697991
,Sun Feb 14,Vicious Squirrels,3,Crocodiles,2,,,https://www.dmyha.com/game/show/30148179?subseason=697991
,Sun Feb 21,Crocodiles,0,Grizzly Goons,2,,,https://www.dmyha.com/game/show/30148182?subseason=697991
,Sun Feb 21,Vicious Squirrels,5,Knights,3,,,https://www.dmyha.com/game/show/30148186?subseason=697991
,Sun Feb 21,Wild Goose,8,DSM Whalers,5,,,https://www.dmyha.com/game/show/30148187?subseason=697991
,Sun Feb 21,Benders,6,Wolverines,2,,,https://www.dmyha.com/game/show/30148190?subseason=697991
,Sun Feb 21,Melons,4,Hooligans,5,,,https://www.dmyha.com/game/show/30148191?subseason=697991
,Sun Feb 28,Benders,1,Wild Goose,2,,,https://www.dmyha.com/game/show/30148193?subseason=697991
,Sun Feb 28,Hooligans,4,DSM Whalers,5,,,https://www.dmyha.com/game/show/30148194?subseason=697991
,Sun Feb 28,Wolverines,2,Melons,3,,,https://www.dmyha.com/game/show/30148195?subseason=697991
,Sun Feb 28,Crocodiles,1,Knights,1,,,https://www.dmyha.com/game/show/30148196?subseason=697991
,Sun Feb 28,Grizzly Goons,1,Vicious Squirrels,3,,,https://www.dmyha.com/game/show/30148197?subseason=697991
,Sun Mar  7,Crocodiles,2,Vicious Squirrels,1,,,https://www.dmyha.com/game/show/30149504?subseason=697991
,Sun Mar  7,Knights,0,Grizzly Goons,5,,,https://www.dmyha.com/game/show/30149506?subseason=697991
,Sun Mar  7,DSM Whalers,3,Melons,3,,,https://www.dmyha.com/game/show/30149509?subseason=697991
,Sun Mar  7,Hooligans,2,Benders,9,,,https://www.dmyha.com/game/show/30149514?subseason=697991
,Sun Mar  7,Wild Goose,6,Wolverines,4,,,https://www.dmyha.com/game/show/30149516?subseason=697991
,Sun Mar 21,Grizzly Goons,4,Vicious Squirrels,4,,,https://www.dmyha.com/game/show/30149537?subseason=697991
,Sun Mar 21,Crocodiles,4,Knights,4,,,https://www.dmyha.com/game/show/30149545?subseason=697991
,Sun Mar 21,Benders,3,DSM Whalers,5,,,https://www.dmyha.com/game/show/30149549?subseason=697991
,Sun Mar 21,Melons,1,Wild Goose,4,,,https://www.dmyha.com/game/show/30149551?subseason=697991
,Sun Mar 21,Hooligans,2,Wolverines,5,,,https://www.dmyha.com/game/show/30149552?subseason=697991
,Sun Mar 28,Hooligans,5,Melons,2,,,https://www.dmyha.com/game/show/30149561?subseason=697991
,Sun Mar 28,DSM Whalers,6,Wild Goose,2,,,https://www.dmyha.com/game/show/30149562?subseason=697991
,Sun Mar 28,Wolverines,7,Benders,6,,,https://www.dmyha.com/game/show/30149564?subseason=697991
,Sun Mar 28,Knights,0,Grizzly Goons,1,,,https://www.dmyha.com/game/show/30149566?subseason=697991
,Sun Mar 28,Crocodiles,2,Vicious Squirrels,4,,,https://www.dmyha.com/game/show/30149571?subseason=697991
,Sun Apr 11,Wild Goose,6,Hooligans,2,,,https://www.dmyha.com/game/show/30634499?subseason=697991
,Sun Apr 11,Melons,1,Benders,2,,,https://www.dmyha.com/game/show/30634506?subseason=697991
,Sun Apr 11,DSM Whalers,7,Wolverines,3,,,https://www.dmyha.com/game/show/30634509?subseason=697991
,Sun Apr 11,Knights,2,Vicious Squirrels,1,,,https://www.dmyha.com/game/show/30634549?subseason=697991
,Sun Apr 11,Grizzly Goons,5,Crocodiles,3,,,https://www.dmyha.com/game/show/30634558?subseason=697991
,Sun Apr 18,Grizzly Goons,2,Crocodiles,4,,,https://www.dmyha.com/game/show/30627154?subseason=697991
,Sun Apr 18,Knights,2,Vicious Squirrels,2,,,https://www.dmyha.com/game/show/30627157?subseason=697991
,Sun Apr 18,Melons,7,Wolverines,4,,,https://www.dmyha.com/game/show/30627159?subseason=697991
,Sun Apr 18,Wild Goose,5,Benders,5,,,https://www.dmyha.com/game/show/30627162?subseason=697991
,Sun Apr 18,DSM Whalers,6,Hooligans,6,,,https://www.dmyha.com/game/show/30627165?subseason=697991
,Sun Apr 25,Hooligans,8,Wolverines,3,,,https://www.dmyha.com/game/show/30985537?subseason=697991
,Sun Apr 25,Benders,4,DSM Whalers,7,,,https://www.dmyha.com/game/show/30985539?subseason=697991
,Sun Apr 25,Melons,3,Wild Goose,1,,,https://www.dmyha.com/game/show/30985541?subseason=697991
,Sun Apr 25,Wolverines,2,Wild Goose,5,,,https://www.dmyha.com/game/show/30627168?subseason=697991
,Sun Apr 25,Melons,3,DSM Whalers,2,,,https://www.dmyha.com/game/show/30627172?subseason=697991
,Sun Apr 25,Benders,4,Hooligans,5,,,https://www.dmyha.com/game/show/30627174?subseason=697991
,Sun Apr 25,Knights,3,Crocodiles,1,,,https://www.dmyha.com/game/show/30627176?subseason=697991
,Sun Apr 25,Vicious Squirrels,2,Grizzly Goons,4,,,https://www.dmyha.com/game/show/30627178?subseason=697991
,Sun May  2,Vicious Squirrels,6,Crocodiles,1,,,https://www.dmyha.com/game/show/31241032?subseason=697991
,Sun May  2,Grizzly Goons,3,Knights,2,,,https://www.dmyha.com/game/show/31241034?subseason=697991
,Sun May  2,Grizzly Goons,4,Crocodiles,2,,,https://www.dmyha.com/game/show/31241037?subseason=697991
,Sun May  2,Knights,2,Vicious Squirrels,3,,,https://www.dmyha.com/game/show/31241039?subseason=697991
,Sun May  2,Melons,6,Wild Goose,2,,,https://www.dmyha.com/game/show/31241042?subseason=697991
,Sun May  2,DSM Whalers,5,Wolverines,3,,,https://www.dmyha.com/game/show/31241044?subseason=697991
,Sun May  2,Hooligans,3,Wild Goose,5,,,https://www.dmyha.com/game/show/31241046?subseason=697991
,Sun May  2,Benders,1,Melons,6,,,https://www.dmyha.com/game/show/31241049?subseason=697991
,Sun May  9,Wolverines,6,Hooligans,6,,,https://www.dmyha.com/game/show/31241061?subseason=697991
,Sun May  9,DSM Whalers,6,Benders,4,,,https://www.dmyha.com/game/show/31241066?subseason=697991
,Sun May  9,Wild Goose,1,Melons,4,,,https://www.dmyha.com/game/show/31241076?subseason=697991
,Sun May  9,Wild Goose,4,Hooligans,3,,,https://www.dmyha.com/game/show/31241077?subseason=697991
,Sun May  9,Wolverines,0,DSM Whalers,5,,,https://www.dmyha.com/game/show/31241079?subseason=697991
,Sun May  9,Knights,1,Grizzly Goons,3,,,https://www.dmyha.com/game/show/31241083?subseason=697991
,Sun May  9,Vicious Squirrels,0,Knights,2,,,https://www.dmyha.com/game/show/31241087?subseason=697991
,Sun May  9,Crocodiles,4,Grizzly Goons,5,,,https://www.dmyha.com/game/show/31241091?subseason=697991
,Sun May 16,Vicious Squirrels,1,Grizzly Goons,7,,,https://www.dmyha.com/game/show/31241100?subseason=697991
