0,1,2,3,4,5,6,7,8
Yes,Sun Sep 30,Moose,0,Goldfish,0,,,https://www.dmyha.com/game/show/22772687?subseason=545898
Yes,Sun Sep 30,Iowinds,0,Benders,0,,,https://www.dmyha.com/game/show/22772689?subseason=545898
Yes,Sun Sep 30,Jesters,0,Wolverines,0,,,https://www.dmyha.com/game/show/22772691?subseason=545898
Yes,Sun Sep 30,Voodoo,0,Knights,0,,,https://www.dmyha.com/game/show/22772710?subseason=545898
Yes,Sun Sep 30,Wild Goose,0,Bandits,0,,,https://www.dmyha.com/game/show/22772711?subseason=545898
Yes,Sun Sep 30,Vicious Squirrels,0,Stampede,0,,,https://www.dmyha.com/game/show/22772712?subseason=545898
Yes,Sun Oct  7,Bandits,0,Knights,0,,,https://www.dmyha.com/game/show/22772713?subseason=545898
Yes,Sun Oct  7,Goldfish,0,Wild Goose,0,,,https://www.dmyha.com/game/show/22772714?subseason=545898
Yes,Sun Oct  7,Voodoo,0,Moose,0,,,https://www.dmyha.com/game/show/22772715?subseason=545898
,Sun Oct  7,Vicious Squirrels,4,Benders,8,,,https://www.dmyha.com/game/show/22772717?subseason=545898
,Sun Oct  7,Iowinds,4,Stampede,4,,,https://www.dmyha.com/game/show/22772719?subseason=545898
,Sun Oct  7,Wolverines,4,Jesters,2,,,https://www.dmyha.com/game/show/22772720?subseason=545898
,Sun Oct 14,Knights,6,Bandits,1,,,https://www.dmyha.com/game/show/22772722?subseason=545898
,Sun Oct 14,Wolverines,2,Stampede,1,,,https://www.dmyha.com/game/show/22772724?subseason=545898
,Sun Oct 14,Wild Goose,4,Voodoo,0,,,https://www.dmyha.com/game/show/22772726?subseason=545898
,Sun Oct 14,Jesters,6,Vicious Squirrels,3,,,https://www.dmyha.com/game/show/22772727?subseason=545898
,Sun Oct 14,Goldfish,2,Moose,2,,,https://www.dmyha.com/game/show/22772728?subseason=545898
,Sun Oct 14,Iowinds,4,Benders,1,,,https://www.dmyha.com/game/show/22772729?subseason=545898
,Sun Oct 21,Stampede,3,Jesters,8,,,https://www.dmyha.com/game/show/22772730?subseason=545898
,Sun Oct 21,Moose,3,Voodoo,1,,,https://www.dmyha.com/game/show/22772731?subseason=545898
,Sun Oct 21,Vicious Squirrels,4,Iowinds,10,,,https://www.dmyha.com/game/show/22772732?subseason=545898
,Sun Oct 21,Benders,5,Wolverines,0,,,https://www.dmyha.com/game/show/22772733?subseason=545898
,Sun Oct 21,Wild Goose,6,Bandits,0,,,https://www.dmyha.com/game/show/22772735?subseason=545898
,Sun Oct 21,Knights,6,Goldfish,1,,,https://www.dmyha.com/game/show/22772736?subseason=545898
,Sun Oct 28,Voodoo,0,Knights,3,,,https://www.dmyha.com/game/show/22772738?subseason=545898
,Sun Oct 28,Benders,6,Jesters,6,,,https://www.dmyha.com/game/show/22772740?subseason=545898
,Sun Oct 28,Goldfish,5,Bandits,2,,,https://www.dmyha.com/game/show/22772749?subseason=545898
,Sun Oct 28,Stampede,8,Vicious Squirrels,2,,,https://www.dmyha.com/game/show/22772760?subseason=545898
,Sun Oct 28,Wolverines,1,Iowinds,4,,,https://www.dmyha.com/game/show/22772762?subseason=545898
,Sun Oct 28,Wild Goose,2,Moose,1,,,https://www.dmyha.com/game/show/22772765?subseason=545898
,Sun Nov 11,Bandits,1,Voodoo,4,,,https://www.dmyha.com/game/show/22772771?subseason=545898
,Sun Nov 11,Benders,0,Stampede,6,,,https://www.dmyha.com/game/show/22772772?subseason=545898
,Sun Nov 11,Iowinds,7,Jesters,5,,,https://www.dmyha.com/game/show/22772775?subseason=545898
,Sun Nov 11,Vicious Squirrels,4,Wolverines,7,,,https://www.dmyha.com/game/show/22772776?subseason=545898
,Sun Nov 11,Goldfish,2,Wild Goose,5,,,https://www.dmyha.com/game/show/22772777?subseason=545898
,Sun Nov 11,Knights,6,Moose,3,,,https://www.dmyha.com/game/show/22772779?subseason=545898
,Sun Nov 18,Benders,5,Vicious Squirrels,2,,,https://www.dmyha.com/game/show/22772783?subseason=545898
,Sun Nov 18,Iowinds,2,Stampede,4,,,https://www.dmyha.com/game/show/22772784?subseason=545898
,Sun Nov 18,Wild Goose,0,Knights,3,,,https://www.dmyha.com/game/show/22772785?subseason=545898
,Sun Nov 18,Moose,2,Bandits,3,,,https://www.dmyha.com/game/show/22772786?subseason=545898
,Sun Nov 18,Voodoo,1,Goldfish,4,,,https://www.dmyha.com/game/show/22772787?subseason=545898
,Sun Nov 18,Jesters,2,Wolverines,4,,,https://www.dmyha.com/game/show/22772788?subseason=545898
,Sun Nov 25,Moose,3,Goldfish,2,,,https://www.dmyha.com/game/show/22772792?subseason=545898
,Sun Nov 25,Benders,2,Iowinds,3,,,https://www.dmyha.com/game/show/22772795?subseason=545898
,Sun Nov 25,Vicious Squirrels,6,Jesters,8,,,https://www.dmyha.com/game/show/22772796?subseason=545898
,Sun Nov 25,Stampede,5,Wolverines,5,,,https://www.dmyha.com/game/show/22772798?subseason=545898
,Sun Nov 25,Bandits,0,Knights,3,,,https://www.dmyha.com/game/show/22772801?subseason=545898
,Sun Nov 25,Voodoo,0,Wild Goose,6,,,https://www.dmyha.com/game/show/22772802?subseason=545898
,Sun Dec  2,Wild Goose,6,Bandits,4,,,https://www.dmyha.com/game/show/22772806?subseason=545898
,Sun Dec  2,Jesters,5,Stampede,3,,,https://www.dmyha.com/game/show/22772807?subseason=545898
,Sun Dec  2,Voodoo,5,Moose,0,,,https://www.dmyha.com/game/show/22772809?subseason=545898
,Sun Dec  2,Goldfish,0,Knights,3,,,https://www.dmyha.com/game/show/22772812?subseason=545898
,Sun Dec  2,Wolverines,4,Benders,5,,,https://www.dmyha.com/game/show/22772814?subseason=545898
,Sun Dec  2,Iowinds,8,Vicious Squirrels,2,,,https://www.dmyha.com/game/show/22772815?subseason=545898
,Sun Dec  9,Moose,0,Wild Goose,4,,,https://www.dmyha.com/game/show/22772818?subseason=545898
,Sun Dec  9,Knights,4,Voodoo,1,,,https://www.dmyha.com/game/show/22772819?subseason=545898
,Sun Dec  9,Vicious Squirrels,3,Stampede,5,,,https://www.dmyha.com/game/show/22772820?subseason=545898
,Sun Dec  9,Benders,4,Jesters,4,,,https://www.dmyha.com/game/show/22772821?subseason=545898
,Sun Dec  9,Iowinds,2,Wolverines,3,,,https://www.dmyha.com/game/show/22772822?subseason=545898
,Sun Dec  9,Bandits,1,Goldfish,7,,,https://www.dmyha.com/game/show/22772823?subseason=545898
,Sun Dec 16,Jesters,4,Iowinds,2,,,https://www.dmyha.com/game/show/22772825?subseason=545898
,Sun Dec 16,Wild Goose,4,Goldfish,1,,,https://www.dmyha.com/game/show/22772828?subseason=545898
,Sun Dec 16,Moose,2,Knights,8,,,https://www.dmyha.com/game/show/22772830?subseason=545898
,Sun Dec 16,Wolverines,1,Vicious Squirrels,3,,,https://www.dmyha.com/game/show/22772833?subseason=545898
,Sun Dec 16,Stampede,1,Benders,6,,,https://www.dmyha.com/game/show/22772835?subseason=545898
,Sun Dec 16,Voodoo,2,Bandits,2,,,https://www.dmyha.com/game/show/22772837?subseason=545898
,Sun Jan  6,Goldfish,1,Voodoo,1,,,https://www.dmyha.com/game/show/22772841?subseason=545898
,Sun Jan  6,Vicious Squirrels,2,Benders,6,,,https://www.dmyha.com/game/show/22772843?subseason=545898
,Sun Jan  6,Jesters,2,Wolverines,0,,,https://www.dmyha.com/game/show/22772844?subseason=545898
,Sun Jan  6,Bandits,3,Moose,7,,,https://www.dmyha.com/game/show/22772846?subseason=545898
,Sun Jan  6,Knights,2,Wild Goose,2,,,https://www.dmyha.com/game/show/22772849?subseason=545898
,Sun Jan  6,Stampede,6,Iowinds,3,,,https://www.dmyha.com/game/show/22772851?subseason=545898
,Sun Jan 13,Goldfish,3,Moose,2,,,https://www.dmyha.com/game/show/22772854?subseason=545898
,Sun Jan 13,Voodoo,2,Wild Goose,1,,,https://www.dmyha.com/game/show/22772856?subseason=545898
,Sun Jan 13,Wolverines,2,Stampede,5,,,https://www.dmyha.com/game/show/22772858?subseason=545898
,Sun Jan 13,Bandits,0,Knights,5,,,https://www.dmyha.com/game/show/22772859?subseason=545898
,Sun Jan 13,Jesters,5,Vicious Squirrels,2,,,https://www.dmyha.com/game/show/22772860?subseason=545898
,Sun Jan 13,Iowinds,7,Benders,4,,,https://www.dmyha.com/game/show/22772862?subseason=545898
,Sun Jan 20,Benders,3,Wolverines,2,,,https://www.dmyha.com/game/show/22772863?subseason=545898
,Sun Jan 20,Bandits,2,Wild Goose,4,,,https://www.dmyha.com/game/show/22772864?subseason=545898
,Sun Jan 20,Vicious Squirrels,4,Iowinds,7,,,https://www.dmyha.com/game/show/22772867?subseason=545898
,Sun Jan 20,Knights,3,Goldfish,0,,,https://www.dmyha.com/game/show/22772869?subseason=545898
,Sun Jan 20,Stampede,2,Jesters,2,,,https://www.dmyha.com/game/show/22772871?subseason=545898
,Sun Jan 20,Moose,5,Voodoo,2,,,https://www.dmyha.com/game/show/22772872?subseason=545898
,Sun Jan 27,Wild Goose,5,Moose,0,,,https://www.dmyha.com/game/show/22772877?subseason=545898
,Sun Jan 27,Voodoo,2,Knights,2,,,https://www.dmyha.com/game/show/22772878?subseason=545898
,Sun Jan 27,Goldfish,5,Bandits,4,,,https://www.dmyha.com/game/show/22772880?subseason=545898
,Sun Jan 27,Jesters,2,Benders,2,,,https://www.dmyha.com/game/show/22772882?subseason=545898
,Sun Jan 27,Wolverines,4,Iowinds,5,,,https://www.dmyha.com/game/show/22772883?subseason=545898
,Sun Jan 27,Stampede,7,Vicious Squirrels,0,,,https://www.dmyha.com/game/show/22772885?subseason=545898
,Sun Feb  3,Iowinds,5,Jesters,6,,,https://www.dmyha.com/game/show/22772905?subseason=545898
,Sun Feb  3,Benders,1,Stampede,6,,,https://www.dmyha.com/game/show/22772912?subseason=545898
,Sun Feb  3,Vicious Squirrels,1,Wolverines,5,,,https://www.dmyha.com/game/show/22772915?subseason=545898
Yes,Sun Feb  3,Bandits,0,Moose,0,,,https://www.dmyha.com/game/show/22772919?subseason=545898
Yes,Sun Feb  3,Goldfish,0,Knights,0,,,https://www.dmyha.com/game/show/22772927?subseason=545898
Yes,Sun Feb  3,Voodoo,0,Wild Goose,0,,,https://www.dmyha.com/game/show/22772963?subseason=545898
,Sun Feb 10,Knights,8,Moose,1,,,https://www.dmyha.com/game/show/22772965?subseason=545898
,Sun Feb 10,Bandits,2,Voodoo,3,,,https://www.dmyha.com/game/show/22772967?subseason=545898
,Sun Feb 10,Goldfish,1,Wild Goose,3,,,https://www.dmyha.com/game/show/22772969?subseason=545898
,Sun Feb 10,Iowinds,3,Stampede,7,,,https://www.dmyha.com/game/show/22772971?subseason=545898
,Sun Feb 10,Wolverines,0,Jesters,2,,,https://www.dmyha.com/game/show/22772972?subseason=545898
,Sun Feb 10,Benders,1,Vicious Squirrels,3,,,https://www.dmyha.com/game/show/22772974?subseason=545898
,Sun Feb 17,Stampede,5,Wolverines,2,,,https://www.dmyha.com/game/show/22772975?subseason=545898
,Sun Feb 17,Wild Goose,1,Knights,4,,,https://www.dmyha.com/game/show/22772977?subseason=545898
