0,1,2,3,4,5,6,7,8
Yes,Sun Nov  6,"Lucky Bulldogs
 (10-7-1)",-,"Ice Warriors
 (4-13-1)",-,,9:30 AM CST,https://www.dmyha.com/game/show/37243927?subseason=858888
Yes,Sun Nov  6,"Vicious Squirrels
 (9-9-0)",-,"Reapers
 (12-6-0)",-,,10:45 AM CST,https://www.dmyha.com/game/show/37243933?subseason=858888
Yes,Sun Nov  6,"Crows
 (4-14-0)",-,"Bat Hogs
 (11-4-3)",-,,12:00 PM CST,https://www.dmyha.com/game/show/37243941?subseason=858888
Yes,Sun Nov  6,"Flutter Bees
 (7-10-1)",-,"Iowa Train
 (11-3-4)",-,,1:15 PM CST,https://www.dmyha.com/game/show/37243960?subseason=858888
Yes,Sun Nov  6,"Iowa Bucks
 (14-3-2)",-,"Hooligans
 (2-15-2)",-,,2:30 PM CST,https://www.dmyha.com/game/show/37243965?subseason=858888
,Sun Nov 13,Crows,1,Bat Hogs,8,,,https://www.dmyha.com/game/show/37244114?subseason=858888
,Sun Nov 13,Flutter Bees,6,Iowa Train,7,,,https://www.dmyha.com/game/show/37244119?subseason=858888
,Sun Nov 13,Iowa Bucks,5,Hooligans,3,,,https://www.dmyha.com/game/show/37244129?subseason=858888
,Sun Nov 13,Lucky Bulldogs,5,Ice Warriors,2,,,https://www.dmyha.com/game/show/37244140?subseason=858888
,Sun Nov 13,Vicious Squirrels,1,Reapers,6,,,https://www.dmyha.com/game/show/37244151?subseason=858888
,Sun Nov 20,Ice Warriors,1,Vicious Squirrels,6,,,https://www.dmyha.com/game/show/37244160?subseason=858888
,Sun Nov 20,Reapers,7,Lucky Bulldogs,0,,,https://www.dmyha.com/game/show/37244167?subseason=858888
,Sun Nov 20,Crows,7,Hooligans,0,,,https://www.dmyha.com/game/show/37244203?subseason=858888
,Sun Nov 20,Flutter Bees,3,Iowa Bucks,5,,,https://www.dmyha.com/game/show/37244236?subseason=858888
,Sun Nov 20,Bat Hogs,5,Iowa Train,6,,,https://www.dmyha.com/game/show/37244250?subseason=858888
,Sun Nov 27,Iowa Train,9,Hooligans,5,,,https://www.dmyha.com/game/show/37244906?subseason=858888
,Sun Nov 27,Bat Hogs,3,Flutter Bees,2,,,https://www.dmyha.com/game/show/37244954?subseason=858888
,Sun Nov 27,Iowa Bucks,4,Crows,3,,,https://www.dmyha.com/game/show/37244962?subseason=858888
